Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market_size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales ,Total_expenses,Type,Month,Profit_Margin
603,45,-26,2012-10-11,447,69,Small Market,East,14,Beans,Coffee,Colombian,24,114,New Hampshire,30,60,50,90,45,Regular,10,0.21052631578947367
603,45,-37,2012-10-12,320,64,Small Market,East,41,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,60,30,90,71,Regular,10,-0.06422018348623854
318,60,-9,2012-10-13,-762,84,Small Market,South,54,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,60,10,90,83,Regular,10,0.006944444444444444
775,34,-32,2012-10-14,240,43,Small Market,West,12,Beans,Coffee,Colombian,-2,77,Nevada,40,60,30,100,45,Regular,10,-0.025974025974025976
503,54,-28,2012-10-15,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,12,120,Oregon,40,60,40,100,54,Regular,10,0.1
573,45,-36,2012-10-16,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,60,30,80,70,Decaf,10,-0.05504587155963303
262,48,-15,2012-10-17,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,60,60,90,25,Decaf,10,0.3813559322033898
801,49,-27,2012-10-18,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,60,60,90,38,Decaf,10,0.275
425,48,-13,2012-10-19,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,47,119,Washington,30,60,60,90,24,Decaf,10,0.3949579831932773
860,40,-14,2012-10-20,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,36,99,Connecticut,40,60,50,100,23,Regular,10,0.36363636363636365
971,82,14,2012-10-21,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,64,205,Oregon,30,60,50,90,59,Regular,10,0.3121951219512195
971,91,26,2012-10-22,656,127,Small Market,West,28,Leaves,Tea,Green Tea,76,218,Oregon,40,60,50,100,51,Regular,10,0.3486238532110092
915,40,-14,2012-10-23,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,26,92,Texas,40,60,40,100,26,Decaf,10,0.2826086956521739
210,50,8,2012-10-24,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,48,123,Texas,30,60,40,90,25,Decaf,10,0.3902439024390244
970,40,-13,2012-10-25,536,52,Major Market,Central,13,Beans,Coffee,Colombian,27,92,Colorado,30,60,40,90,25,Regular,10,0.29347826086956524
774,52,-8,2012-10-26,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,50,60,0,110,76,Regular,10,-0.06666666666666667
954,75,14,2012-10-27,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,44,164,Florida,50,60,30,110,45,Decaf,10,0.2682926829268293
936,46,1,2012-10-28,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,31,114,Texas,40,60,30,100,37,Decaf,10,0.2719298245614035
719,55,-5,2012-10-29,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,15,124,Colorado,40,60,20,100,54,Regular,10,0.12096774193548387
847,50,8,2012-10-30,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,48,123,Illinois,40,60,40,100,25,Regular,10,0.3902439024390244
719,57,-1,2012-10-31,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,29,125,Colorado,40,60,30,100,39,Regular,10,0.232
339,36,-9,2012-11-01,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,31,88,Massachusetts,30,60,40,90,21,Regular,11,0.3522727272727273
314,33,-23,2012-11-02,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,27,81,Missouri,40,60,50,100,21,Decaf,11,0.3333333333333333
504,31,-22,2012-11-03,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,30,60,50,90,19,Decaf,11,0.358974358974359
580,36,-10,2012-11-04,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,40,60,40,100,22,Decaf,11,0.3409090909090909
225,49,4,2012-11-05,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,34,120,Louisiana,30,60,30,90,37,Decaf,11,0.2833333333333333
262,54,-6,2012-11-06,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,14,121,Wisconsin,50,60,20,110,53,Regular,11,0.11570247933884298
603,46,-10,2012-11-07,316,67,Small Market,East,14,Beans,Coffee,Amaretto,30,113,New Hampshire,40,60,40,100,37,Regular,11,0.26548672566371684
603,43,-10,2012-11-08,452,66,Small Market,East,14,Beans,Coffee,Colombian,20,109,New Hampshire,30,60,30,90,46,Regular,11,0.1834862385321101
603,44,-18,2012-11-09,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,40,60,10,100,70,Regular,11,-0.07547169811320754
225,53,19,2012-11-10,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,49,141,Louisiana,40,60,30,100,39,Regular,11,0.3475177304964539
425,54,-7,2012-11-11,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,13,121,Washington,50,60,20,110,54,Regular,11,0.10743801652892562
918,54,-7,2012-11-12,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,50,60,20,110,54,Decaf,11,0.10743801652892562
801,46,0,2012-11-13,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,30,113,Utah,40,60,30,100,37,Decaf,11,0.26548672566371684
435,43,-10,2012-11-14,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,20,109,Utah,40,60,30,100,46,Decaf,11,0.1834862385321101
509,47,4,2012-11-15,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,44,115,Washington,40,60,40,100,24,Decaf,11,0.3826086956521739
203,36,-7,2012-11-16,809,54,Small Market,East,10,Leaves,Tea,Green Tea,33,90,Connecticut,30,60,40,90,21,Regular,11,0.36666666666666664
206,61,1,2012-11-17,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,147,Washington,40,60,0,100,85,Regular,11,0.006802721088435374
682,43,-10,2012-11-18,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,60,40,110,26,Decaf,11,0.30303030303030304
214,54,12,2012-11-19,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,52,133,Texas,40,60,40,100,27,Decaf,11,0.39097744360902253
970,47,-6,2012-11-20,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,60,0,100,71,Decaf,11,-0.05357142857142857
303,54,-1,2012-11-21,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,29,127,Colorado,50,60,30,110,44,Decaf,11,0.2283464566929134
954,65,3,2012-11-22,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,23,145,Florida,40,60,20,100,57,Decaf,11,0.15862068965517243
561,80,20,2012-11-23,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,50,176,Florida,60,60,30,120,46,Decaf,11,0.2840909090909091
469,54,-2,2012-11-24,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,60,30,110,45,Decaf,11,0.2204724409448819
214,41,-6,2012-11-25,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,24,101,Texas,30,60,30,90,36,Decaf,11,0.2376237623762376
619,54,3,2012-11-26,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,53,133,California,30,60,50,90,26,Regular,11,0.39849624060150374
314,31,-23,2012-11-27,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,60,50,90,19,Decaf,11,0.35064935064935066
225,34,-19,2012-11-28,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,60,50,100,20,Decaf,11,0.36470588235294116
580,33,-22,2012-11-29,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,60,50,90,21,Decaf,11,0.34146341463414637
603,48,-2,2012-11-30,462,74,Small Market,East,15,Beans,Coffee,Colombian,28,122,New Hampshire,40,60,30,100,46,Regular,11,0.22950819672131148
985,55,-3,2012-12-01,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,60,0,100,79,Regular,12,-0.022900763358778626
505,49,-15,2012-12-02,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,60,10,90,74,Regular,12,-0.0423728813559322
775,39,-19,2012-12-03,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,88,Nevada,40,60,20,100,48,Regular,12,0.011363636363636364
417,49,-5,2012-12-04,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,60,0,100,74,Decaf,12,-0.0423728813559322
920,41,0,2012-12-05,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,60,30,90,36,Decaf,12,0.2803738317757009
573,92,-4,2012-12-06,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,60,20,140,52,Decaf,12,0.1
475,68,7,2012-12-07,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,60,20,110,58,Decaf,12,0.17647058823529413
475,63,-4,2012-12-08,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,60,40,100,40,Decaf,12,0.2589928057553957
435,92,-3,2012-12-09,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,17,160,Utah,80,60,20,140,51,Decaf,12,0.10625
920,55,-3,2012-12-10,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,60,0,100,79,Regular,12,-0.022900763358778626
720,51,-37,2012-12-11,503,71,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,60,30,90,76,Decaf,12,-0.05384615384615385
970,52,-11,2012-12-12,405,71,Major Market,Central,17,Leaves,Herbal Tea,Mint,39,131,Colorado,30,60,50,90,45,Decaf,12,0.29770992366412213
430,43,-8,2012-12-13,419,64,Major Market,South,13,Leaves,Herbal Tea,Lemon,42,114,Texas,30,60,50,90,36,Decaf,12,0.3684210526315789
561,38,2,2012-12-14,871,56,Major Market,East,10,Leaves,Tea,Darjeeling,52,100,Florida,40,60,50,100,21,Regular,12,0.52
510,72,33,2012-12-15,650,110,Major Market,West,23,Leaves,Tea,Green Tea,83,194,California,20,60,50,80,54,Regular,12,0.42783505154639173
563,0,-14,2012-12-16,430,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,60,60,60,12,Decaf,12,1.0
203,47,-19,2012-12-17,375,64,Small Market,East,15,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,60,50,90,43,Decaf,12,0.2627118644067797
405,27,-29,2012-12-18,859,39,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,60,60,90,18,Decaf,12,0.44285714285714284
775,31,-40,2012-12-19,1000,37,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,60,50,90,30,Decaf,12,0.1388888888888889
435,40,-5,2012-12-20,881,59,Small Market,West,11,Beans,Espresso,Decaf Espresso,55,106,Utah,20,60,60,80,22,Decaf,12,0.5188679245283019
603,49,-11,2012-12-21,310,71,Small Market,East,15,Beans,Coffee,Amaretto,49,128,New Hampshire,30,60,60,90,38,Regular,12,0.3828125
603,45,-14,2012-12-22,447,69,Small Market,East,14,Beans,Coffee,Colombian,36,121,New Hampshire,30,60,50,90,45,Regular,12,0.2975206611570248
603,45,-40,2012-12-23,320,64,Small Market,East,41,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,60,30,90,71,Regular,12,-0.08620689655172414
504,60,-9,2012-12-24,-762,84,Small Market,South,54,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,60,10,90,83,Regular,12,0.006535947712418301
702,34,-33,2012-12-25,240,43,Small Market,West,12,Beans,Coffee,Colombian,-3,82,Nevada,40,60,30,100,45,Regular,12,-0.036585365853658534
971,54,-22,2012-12-26,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,18,128,Oregon,40,60,40,100,54,Regular,12,0.140625
573,45,-39,2012-12-27,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,60,30,80,70,Decaf,12,-0.07758620689655173
262,48,7,2012-12-28,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,60,90,25,Decaf,12,0.5317460317460317
801,49,-11,2012-12-29,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,60,90,38,Decaf,12,0.3828125
509,48,10,2012-12-30,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,60,90,24,Decaf,12,0.5511811023622047
475,40,3,2012-12-31,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,53,106,Connecticut,40,60,50,100,23,Regular,12,0.5
503,82,45,2013-01-01,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,95,218,Oregon,30,60,50,90,59,Regular,1,0.43577981651376146
541,91,63,2013-01-02,656,127,Small Market,West,28,Leaves,Tea,Green Tea,113,232,Oregon,40,60,50,100,51,Regular,1,0.4870689655172414
936,40,-1,2013-01-03,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,60,40,100,26,Decaf,1,0.3979591836734694
254,50,31,2013-01-04,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,71,131,Texas,30,60,40,90,25,Decaf,1,0.5419847328244275
719,40,0,2013-01-05,536,52,Major Market,Central,13,Beans,Coffee,Colombian,40,98,Colorado,30,60,40,90,25,Regular,1,0.40816326530612246
339,52,-12,2013-01-06,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,60,0,110,76,Regular,1,-0.09375
561,75,35,2013-01-07,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,65,175,Florida,50,60,30,110,45,Decaf,1,0.37142857142857144
806,46,16,2013-01-08,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,46,121,Texas,40,60,30,100,37,Decaf,1,0.38016528925619836
719,55,2,2013-01-09,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,22,132,Colorado,40,60,20,100,54,Regular,1,0.16666666666666666
708,50,31,2013-01-10,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,71,131,Illinois,40,60,40,100,25,Regular,1,0.5419847328244275
719,57,13,2013-01-11,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,43,133,Colorado,40,60,30,100,39,Regular,1,0.3233082706766917
351,36,6,2013-01-12,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,60,40,90,21,Regular,1,0.48936170212765956
636,33,-10,2013-01-13,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,60,50,100,21,Decaf,1,0.46511627906976744
504,31,-8,2013-01-14,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,60,50,90,19,Decaf,1,0.5060240963855421
580,36,5,2013-01-15,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,60,40,100,22,Decaf,1,0.4787234042553192
337,49,20,2013-01-16,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,60,30,90,37,Decaf,1,0.390625
262,54,1,2013-01-17,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,21,129,Wisconsin,50,60,20,110,53,Regular,1,0.16279069767441862
603,46,5,2013-01-18,316,67,Small Market,East,14,Beans,Coffee,Amaretto,45,120,New Hampshire,40,60,40,100,37,Regular,1,0.375
603,43,0,2013-01-19,452,66,Small Market,East,14,Beans,Coffee,Colombian,30,116,New Hampshire,30,60,30,90,46,Regular,1,0.25862068965517243
603,44,-22,2013-01-20,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,60,10,100,70,Regular,1,-0.10619469026548672
318,53,43,2013-01-21,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,60,30,100,39,Regular,1,0.4866666666666667
206,54,-1,2013-01-22,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,19,129,Washington,50,60,20,110,54,Regular,1,0.14728682170542637
580,54,-1,2013-01-23,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,60,20,110,54,Decaf,1,0.14728682170542637
435,46,15,2013-01-24,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,60,30,100,37,Decaf,1,0.375
435,43,0,2013-01-25,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,30,116,Utah,40,60,30,100,46,Decaf,1,0.25862068965517243
253,47,25,2013-01-26,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,65,123,Washington,40,60,40,100,24,Decaf,1,0.5284552845528455
203,36,9,2013-01-27,809,54,Small Market,East,10,Leaves,Tea,Green Tea,49,96,Connecticut,30,60,40,90,21,Regular,1,0.5104166666666666
509,61,1,2013-01-28,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,157,Washington,40,60,0,100,85,Regular,1,0.006369426751592357
956,43,5,2013-01-29,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,60,40,110,26,Decaf,1,0.42452830188679247
430,54,37,2013-01-30,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,77,142,Texas,40,60,40,100,27,Decaf,1,0.5422535211267606
719,47,-9,2013-01-31,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,60,0,100,71,Decaf,1,-0.07563025210084033
970,54,13,2013-02-01,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,43,135,Colorado,50,60,30,110,44,Decaf,2,0.31851851851851853
305,65,14,2013-02-02,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,34,155,Florida,40,60,20,100,57,Decaf,2,0.21935483870967742
407,80,44,2013-02-03,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,74,188,Florida,60,60,30,120,46,Decaf,2,0.39361702127659576
325,54,12,2013-02-04,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,60,30,110,45,Decaf,2,0.3111111111111111
430,41,6,2013-02-05,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,36,108,Texas,30,60,30,90,36,Decaf,2,0.3333333333333333
408,54,29,2013-02-06,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,79,142,California,30,60,50,90,26,Regular,2,0.5563380281690141
816,31,-10,2013-02-07,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,60,50,90,19,Decaf,2,0.4878048780487805
337,34,-4,2013-02-08,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,60,50,100,20,Decaf,2,0.5054945054945055
918,33,-8,2013-02-09,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,60,50,90,21,Decaf,2,0.4827586206896552
603,48,12,2013-02-10,462,74,Small Market,East,15,Beans,Coffee,Colombian,42,130,New Hampshire,40,60,30,100,46,Regular,2,0.3230769230769231
225,55,-4,2013-02-11,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,60,0,100,79,Regular,2,-0.02857142857142857
505,49,-17,2013-02-12,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,60,10,90,74,Regular,2,-0.05555555555555555
702,39,-19,2013-02-13,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,94,Nevada,40,60,20,100,48,Regular,2,0.010638297872340425
314,49,-7,2013-02-14,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,60,0,100,74,Decaf,2,-0.05555555555555555
920,41,15,2013-02-15,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,60,30,90,36,Decaf,2,0.39473684210526316
417,92,4,2013-02-16,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,60,20,140,52,Decaf,2,0.14035087719298245
860,68,20,2013-02-17,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,60,20,110,58,Decaf,2,0.24539877300613497
203,63,13,2013-02-18,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,60,40,100,40,Decaf,2,0.3581081081081081
435,92,5,2013-02-19,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,25,171,Utah,80,60,20,140,51,Decaf,2,0.14619883040935672
262,55,-4,2013-02-20,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,60,0,100,79,Regular,2,-0.02857142857142857
719,39,-23,2013-02-21,541,51,Major Market,Central,12,Beans,Coffee,Colombian,27,90,Colorado,30,50,50,80,24,Regular,2,0.3
305,80,8,2013-02-22,1055,94,Major Market,East,24,Leaves,Herbal Tea,Mint,48,174,Florida,40,50,40,90,46,Decaf,2,0.27586206896551724
303,54,-17,2013-02-23,404,66,Major Market,Central,20,Leaves,Tea,Darjeeling,13,120,Colorado,30,50,30,80,53,Regular,2,0.10833333333333334
303,54,-13,2013-02-24,1037,64,Major Market,Central,16,Leaves,Tea,Earl Grey,27,118,Colorado,30,50,40,80,37,Regular,2,0.2288135593220339
508,27,-30,2013-02-25,859,39,Major Market,East,7,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,50,70,19,Regular,2,0.30303030303030304
209,76,29,2013-02-26,580,111,Major Market,West,21,Leaves,Tea,Earl Grey,79,187,California,30,50,50,80,32,Regular,2,0.42245989304812837
715,22,-40,2013-02-27,573,29,Small Market,Central,7,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,50,70,19,Decaf,2,0.19607843137254902
319,23,-32,2013-02-28,800,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,50,70,17,Regular,2,0.3103448275862069
959,79,4,2013-03-01,593,98,Small Market,East,30,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,50,30,90,64,Decaf,3,0.192090395480226
860,65,-15,2013-03-02,1053,77,Small Market,East,20,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,50,50,80,42,Decaf,3,0.24647887323943662
262,46,-10,2013-03-03,449,67,Small Market,Central,14,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,50,40,70,37,Regular,3,0.26548672566371684
715,60,0,2013-03-04,606,84,Small Market,Central,54,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,50,0,90,84,Regular,3,0.0
206,60,17,2013-03-05,329,99,Small Market,West,18,Leaves,Tea,Darjeeling,57,159,Washington,20,50,40,70,42,Regular,3,0.3584905660377358
773,40,-3,2013-03-06,536,52,Major Market,Central,13,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,50,30,80,25,Decaf,3,0.29347826086956524
614,36,-10,2013-03-07,862,52,Major Market,Central,10,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,50,40,80,22,Decaf,3,0.3409090909090909
617,55,-5,2013-03-08,410,69,Major Market,East,20,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,50,20,90,54,Decaf,3,0.12096774193548387
707,40,-3,2013-03-09,536,52,Major Market,West,13,Leaves,Herbal Tea,Mint,27,92,California,30,50,30,80,25,Decaf,3,0.29347826086956524
352,28,-17,2013-03-10,875,42,Major Market,East,7,Leaves,Tea,Darjeeling,23,70,Florida,20,50,40,70,19,Regular,3,0.32857142857142857
561,31,-12,2013-03-11,856,47,Major Market,East,8,Leaves,Tea,Green Tea,28,78,Florida,30,50,40,80,19,Regular,3,0.358974358974359
351,32,-11,2013-03-12,482,48,Major Market,East,8,Leaves,Tea,Green Tea,29,80,Massachusetts,30,50,40,80,19,Regular,3,0.3625
650,50,7,2013-03-13,589,73,Major Market,West,14,Leaves,Tea,Earl Grey,47,123,California,30,50,40,80,26,Regular,3,0.3821138211382114
712,0,-9,2013-03-14,387,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,50,40,50,12,Decaf,3,0.7209302325581395
505,82,-18,2013-03-15,1804,40,Small Market,South,25,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,50,10,140,48,Decaf,3,-0.06557377049180328
515,22,-24,2013-03-16,802,34,Small Market,Central,6,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,50,40,70,18,Regular,3,0.2857142857142857
505,44,-7,2013-03-17,325,62,Small Market,South,40,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,50,0,80,69,Regular,3,-0.0660377358490566
775,33,-14,2013-03-18,243,41,Small Market,West,12,Beans,Coffee,Colombian,-4,74,Nevada,30,50,10,80,45,Regular,3,-0.05405405405405406
573,44,-8,2013-03-19,325,62,Small Market,Central,40,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,50,0,90,70,Decaf,3,-0.07547169811320754
262,31,-13,2013-03-20,856,47,Small Market,Central,8,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,50,40,70,20,Decaf,3,0.34615384615384615
475,69,8,2013-03-21,1060,81,Small Market,East,21,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,50,30,100,43,Decaf,3,0.25333333333333335
262,49,13,2013-03-22,454,71,Small Market,Central,15,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,50,20,90,38,Regular,3,0.275
